record_id,publication_year,paper_title,supplemental_match_method,supplemental_match_confidence,supplemental_title
conf:3dim:0003WBCR20,2020,SMPLy Benchmarking 3D Human Pose Estimation in the Wild.,doi_exact,1.0,SMPLy Benchmarking 3D Human Pose Estimation in the Wild
conf:3dim:AgarwalG20,2020,GAMesh: Guided and Augmented Meshing for Deep Point Networks.,doi_exact,1.0,GAMesh: Guided and Augmented Meshing for Deep Point Networks
conf:3dim:AlhaijaMTJN0R20,2020,Intrinsic Autoencoders for Joint Deferred Neural Rendering and Intrinsic Image Decomposition.,doi_exact,1.0,Intrinsic Autoencoders for Joint Deferred Neural Rendering and Intrinsic Image Decomposition
conf:3dim:ArshadB20,2020,A Progressive Conditional Generative Adversarial Network for Generating Dense and Colored 3D Point Clouds.,doi_exact,1.0,A Progressive Conditional Generative Adversarial Network for Generating Dense and Colored 3D Point Clouds
conf:3dim:AsselinLL20,2020,Deep SVBRDF Estimation on Real Materials.,doi_exact,1.0,Deep SVBRDF Estimation on Real Materials
conf:3dim:Aumentado-Armstrong20,2020,Cycle-Consistent Generative Rendering for 2D-3D Modality Translation.,doi_exact,1.0,Cycle-Consistent Generative Rendering for 2D-3D Modality Translation
conf:3dim:AvrahamZD20,2020,Localising In Complex Scenes Using Balanced Adversarial Adaptation.,doi_exact,1.0,Localising In Complex Scenes Using Balanced Adversarial Adaptation
conf:3dim:AygunLC20,2020,Unsupervised Dense Shape Correspondence using Heat Kernels.,doi_exact,1.0,Unsupervised Dense Shape Correspondence using Heat Kernels
conf:3dim:BaileyG20,2020,A Novel Depth from Defocus Framework Based on a Thick Lens Camera Model.,doi_exact,1.0,A Novel Depth from Defocus Framework Based on a Thick Lens Camera Model
conf:3dim:BenknerGT020,2020,Adiabatic Quantum Graph Matching with Permutation Matrix Constraints.,doi_exact,1.0,Adiabatic Quantum Graph Matching with Permutation Matrix Constraints
conf:3dim:CaiM20,2020,Do End-to-end Stereo Algorithms Under-utilize Information?,doi_exact,1.0,Do End-to-end Stereo Algorithms Under-utilize Information?
