year,edition_number,edition_status,canonical_source,canonical_toc_url,supplemental_metadata_url,supplemental_source_type,supplemental_snapshot_date,supplemental_raw_record_count,notes
2013,1,held,DBLP,https://dblp.org/db/conf/3dim/3dv2013.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2014,2,held,DBLP,https://dblp.org/db/conf/3dim/3dv2014.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2015,3,held,DBLP,https://dblp.org/db/conf/3dim/3dv2015.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2016,4,held,DBLP,https://dblp.org/db/conf/3dim/3dv2016.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2017,5,held,DBLP,https://dblp.org/db/conf/3dim/3dv2017.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2018,6,held,DBLP,https://dblp.org/db/conf/3dim/3dv2018.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2019,7,held,DBLP,https://dblp.org/db/conf/3dim/3dv2019.html,,,,,Canonical DBLP table of contents; enrich abstracts/keywords through OpenAlex or Semantic Scholar.
2020,8,held,DBLP,https://dblp.org/db/conf/3dim/3dv2020.html,https://raw.githubusercontent.com/chang-xinhai/AI-Conference-Paper-Lists/main/data/normalized/3dv/3dv2020.json,Crossref/IEEE-derived normalized snapshot,2026-06-17,124,Supplemental snapshot is enrichment only; DBLP remains the canonical identity source. Raw counts may include copyright/admin records and are not final paper counts.
2021,9,held,DBLP,https://dblp.org/db/conf/3dim/3dv2021.html,https://raw.githubusercontent.com/chang-xinhai/AI-Conference-Paper-Lists/main/data/normalized/3dv/3dv2021.json,Crossref/IEEE-derived normalized snapshot,2026-06-17,144,Supplemental snapshot is enrichment only; DBLP remains the canonical identity source. Raw counts may include copyright/admin records and are not final paper counts.
2022,10,held,DBLP,https://dblp.org/db/conf/3dim/3dv2022.html,https://raw.githubusercontent.com/chang-xinhai/AI-Conference-Paper-Lists/main/data/normalized/3dv/3dv2022.json,Crossref/IEEE-derived normalized snapshot,2026-06-17,73,Supplemental snapshot is enrichment only; DBLP remains the canonical identity source. Raw counts may include copyright/admin records and are not final paper counts.
2023,,no edition,,,,,,,The edition planned for late 2023 moved to March 2024; do not insert a zero-paper edition into trend plots without a note.
2024,11,held,DBLP,https://dblp.org/db/conf/3dim/3dv2024.html,https://raw.githubusercontent.com/chang-xinhai/AI-Conference-Paper-Lists/main/data/normalized/3dv/3dv2024.json,Crossref/IEEE-derived normalized snapshot,2026-06-17,157,Supplemental snapshot is enrichment only; DBLP remains the canonical identity source. Raw counts may include copyright/admin records and are not final paper counts.
2025,12,held,DBLP,https://dblp.org/db/conf/3dim/3dv2025.html,https://raw.githubusercontent.com/chang-xinhai/AI-Conference-Paper-Lists/main/data/normalized/3dv/3dv2025.json,OpenReview-derived normalized snapshot,2026-06-17,142,Supplemental snapshot is enrichment only; DBLP remains the canonical identity source. Raw counts may include copyright/admin records and are not final paper counts.
2026,13,held,DBLP,https://dblp.org/db/conf/3dim/3dv2026.html,https://raw.githubusercontent.com/chang-xinhai/AI-Conference-Paper-Lists/main/data/normalized/3dv/3dv2026.json,OpenReview/arXiv-derived normalized snapshot,2026-06-18,177,Supplemental snapshot is enrichment only; DBLP remains the canonical identity source. Raw counts may include copyright/admin records and are not final paper counts.
