record_id,publication_year,paper_title,primary_topic,secondary_topics,review_confidence,review_note,reviewer,reviewed_at
conf:3dim:WangGTS13,2013,3D Face Template Registration Using Normal Maps.,humans_faces_hands_avatars,registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WittrowskiZS13,2013,3D Implicit Shape Models Using Ray Based Hough Voting for Furniture Recognition.,recognition_detection_retrieval,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LamG13,2013,3D Object Recognition by Surface Registration of Interest Segments.,recognition_detection_retrieval,registration_correspondence_matching,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:RupprechtPTI13,2013,3D Semantic Parameterization for Human Shape Modeling: Application to 3D Animation.,humans_faces_hands_avatars,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:CKSH13,2013,A Learned Joint Depth and Intensity Prior Using Markov Random Fields.,depth_stereo_shape_from_x,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:XiongSP13,2013,A Study of Point Cloud Registration with Probability Product Kernel Functions.,registration_correspondence_matching,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:WangWS13,2013,Accurate Georegistration of Point Clouds Using Geographic Data.,registration_correspondence_matching,slam_localization_mapping,medium,Georegistration is the main alignment task; map-based image localization is secondary.,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:FurchE13,2013,An Iterative Method for Improving Feature Matches.,registration_correspondence_matching,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:DellepianeCCS13,2013,Assisted Multi-view Stereo Reconstruction.,reconstruction_fusion_modeling,depth_stereo_shape_from_x; sensing_acquisition_calibration,medium,"The paper targets complete assisted object reconstruction, using MVS and acquisition guidance.",GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ShiNM13,2013,Augmented Motion History Volume for Spatiotemporal Editing of 3D Video in Multi-party Interaction Scenes.,motion_tracking_dynamic_4d,generation_completion_editing; humans_faces_hands_avatars,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:FriedmanS13,2013,Automatic Procedural Modeling of Tree Structures in Point Clouds Using Wavelets.,generation_completion_editing,reconstruction_fusion_modeling,medium,The inferred procedural grammar is primarily a generative/completion model recovered from scans.,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MohamadKMG13,2013,Automatic Rail Extraction in Terrestrial and Airborne LiDAR Data.,segmentation_scene_understanding,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:LimGLY13,2013,Automatic Registration of Smooth Object Image to 3D CAD Model for Industrial Inspection Applications.,registration_correspondence_matching,multiview_geometry_sfm_photogrammetry,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:VicenteA13,2013,Balloon Shapes: Reconstructing and Deforming Objects with Volume from Images.,reconstruction_fusion_modeling,geometry_shape_processing,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ArpaBSTPR13,2013,CrowdCam: Instantaneous Navigation of Crowd Images Using Angled Graph.,ar_vr_hci_applied_systems,rendering_novel_views_appearance,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:SchaferLG13,2013,Depth and Intensity Based Edge Detection in Time-of-Flight Images.,segmentation_scene_understanding,sensing_acquisition_calibration,medium,"Low-level ToF edge extraction is treated as segmentation, with sensor-specific processing secondary.",GPT-5.6 Pro expert review,2026-08-27
conf:3dim:FunatomiYOIM13,2013,Deriving Motion Constraints in Finger Joints of Individualized Hand Model for Manipulation by Data Glove.,humans_faces_hands_avatars,motion_tracking_dynamic_4d,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:HuangY13,2013,Detecting Objects in Scene Point Cloud: A Combinational Approach.,recognition_detection_retrieval,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:MeccaWKB13,2013,Direct Shape Recovery from Photometric Stereo with Shadows.,depth_stereo_shape_from_x,,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:KimH13,2013,Evaluation of 3D Feature Descriptors for Multi-modal Data Registration.,datasets_benchmarks_evaluation,registration_correspondence_matching; representations_features,high,,GPT-5.6 Pro expert review,2026-08-27
conf:3dim:ReichingerMSM13,2013,Evaluation of Methods for Optical 3-D Scanning of Human Pinnas.,datasets_benchmarks_evaluation,sensing_acquisition_calibration; humans_faces_hands_avatars,high,The paper is a comparative evaluation of scanning methods rather than a new scanner.,GPT-5.6 Pro expert review,2026-08-27
