category_type,supergroup,display_order,category_id,label,short_label,central_problem,description,strong_patterns,patterns,negative_patterns,taxonomy_version
primary,capture_geometry,1,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,Acquire reliable 3D measurements and determine the sensing system parameters needed to interpret them correctly.,"3D cameras and scanners, active/passive sensing, event and radar acquisition, capture hardware, intrinsic/extrinsic or sensor calibration, metrology, and measurement quality.",3d sensor; depth sensor; camera calibration; sensor calibration; multi-sensor calibration; structured light; time of flight; tof sensor; lidar sensor; laser scanner; 3d scanner; event camera; radar sensing; capture system; imaging system; adaptive lidar; metrology; acquisition system,sensor; sensing; acquisition; capture; calibration; scanner; scanning; lidar; time-of-flight; tof; structured-light; event-based sensing; radar; camera model; imaging device; measurement system; range camera,depth estimation; stereo matching; structure from motion; slam,0.3
primary,capture_geometry,2,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,"Infer depth, disparity, normals, or local shape from visual or physical cues without making persistent localization or full model construction the main task.","Monocular, stereo, multi-view-stereo, RGB-D completion, photometric, shading, defocus, polarization, reflection, and related methods for depth, disparity, normal, or shape estimation.",depth estimation; monocular depth; stereo matching; multi-view stereo; multiview stereo; mvs; dense matching; depth completion; depth prediction; surface normal estimation; shape from shading; shape-from-shading; shape from defocus; shape-from-defocus; photometric stereo; disparity estimation; depth propagation,depth; stereo; disparity; shape from; shape-from; surface normal; dense correspondence; plane sweeping; plane-sweeping; defocus; shading; polarization; normal prediction; inverse depth,slam; localization; registration; dataset,0.3
primary,capture_geometry,3,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,"Recover camera geometry and scene structure across views through geometric constraints, global estimation, SfM, bundle adjustment, or photogrammetric reasoning.","Epipolar and multi-view geometry, relative/absolute/generalized pose solvers, triangulation, rotation or translation averaging, structure from motion, bundle adjustment, and photogrammetry.",structure from motion; structure-from-motion; sfm; bundle adjustment; photogrammetry; multi-view geometry; multiview geometry; relative pose; absolute pose; camera pose estimation; resectioning; triangulation; epipolar geometry; essential matrix; fundamental matrix; generalized pose; geometric solver; rotation averaging; translation averaging,camera pose; view geometry; reprojection; resection; triangulate; camera motion; pose-and-scale; pose and scale; homography; two-view geometry; multi-camera geometry,slam; relocalization; loop closure; point cloud registration; shape correspondence,0.3
primary,capture_geometry,4,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,"Establish correspondences or align already observed images, point sets, surfaces, meshes, or shapes rather than reconstruct camera trajectories or scene geometry as the main output.","Rigid and non-rigid registration, local/global feature matching, keypoints and descriptors for matching, point or surface correspondence, shape matching, canonicalization, and model-to-observation alignment.",point cloud registration; point set registration; 3d registration; shape correspondence; dense correspondence; shape matching; point matching; rigid registration; non-rigid registration; nonrigid registration; iterative closest point; icp; graph matching; feature matching; keypoint matching; model alignment,registration; correspondence; matching; alignment; aligning; inlier points; local feature matches; descriptor matching; keypoint; canonicalization,stereo matching; semantic correspondence; image retrieval; visual localization,0.3
primary,capture_geometry,5,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,"Estimate a sensor or agent pose over time and construct, maintain, recognize, or query a map for localization.","Visual/LiDAR/radar/inertial odometry, SLAM, online or long-term mapping, relocalization, place recognition, loop closure, map-based localization, and localization-oriented sensor fusion.",slam; simultaneous localization and mapping; visual localization; relocalization; visual odometry; lidar odometry; radar odometry; odometry; place recognition; loop closure; visual-inertial; visual inertial; vio; sensor fusion; continuous-time slam; mapping system; map-based localization,localization; localisation; mapping; map-based; map based; ego-motion; egomotion; trajectory estimation; long-term localization; scene localization; camera relocalization,object pose estimation; pose estimation of objects; shape correspondence; semantic mapping only,0.3
primary,capture_geometry,6,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,"Recover an explicit or implicit 3D object or scene model from measurements, including fusion, meshing, and geometric model construction.","Single-/multi-view, RGB-D, event, tomographic, neural or Gaussian reconstruction; surface and volumetric fusion; meshing; geometric modeling; and scene completion when recovery of geometry is the main task.",3d reconstruction; scene reconstruction; shape reconstruction; surface reconstruction; object reconstruction; mesh reconstruction; single-view reconstruction; single view reconstruction; multi-view reconstruction; multiview reconstruction; volumetric fusion; surface fusion; geometric modeling; geometric modelling; implicit surface reconstruction; point cloud reconstruction; 3d modeling; 3d modelling; tomographic reconstruction,reconstruction; reconstructing; fusion; meshing; geometric model; surface model; shape recovery; geometry recovery; modeling; modelling; mesh generation; scene completion; geometry enhancement,novel view synthesis only; image synthesis only; object detection,0.3
primary,representation_understanding,7,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,"Design general 3D encodings, descriptors, feature fields, backbones, or learned representations that can support multiple downstream tasks.","Task-general point, voxel, mesh, implicit, Gaussian or hybrid representations; learned backbones; local/global descriptors; invariant/equivariant features; embeddings; compact encoding; and 3D compression.",shape representation; 3d representation; representation learning; point cloud representation; shape descriptor; 3d descriptor; local descriptor; point convolution; point cloud compression; 3d compression; mesh compression; shape embedding; feature backbone; equivariant representation; rotation-invariant representation; rotation invariant representation; multi-resolution representation; multiresolution representation; feature field,representation; descriptor; embedding; feature extraction; point network; point convolution; compression; transmission; encoding; backbone; equivariant; invariant feature; shape feature; pretraining; feature learning,object detection as central task; semantic segmentation as central task; shape retrieval as central task; scene reconstruction as central task; remeshing,0.3
primary,representation_understanding,8,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,"Analyze, regularize, transform, or improve already available geometry rather than infer it from sensor observations.","Point/mesh denoising and filtering, resampling, remeshing, simplification, fairing, fitting, parameterization, topology, spectral geometry, geometric operators, static deformation, and shape-quality processing.",geometry processing; geometric processing; mesh denoising; point cloud denoising; mesh filtering; point cloud filtering; remeshing; mesh simplification; surface fairing; surface fitting; mesh parameterization; mesh parametrization; spectral geometry; geometric operator; topology optimization,denoising; filtering; resampling; remeshing; simplification; fairness; fairing; parameterization; parametrization; topology; manifold; spectral; curvature; surface fitting; mesh deformation; shape processing; mesh quality,depth estimation; surface reconstruction from images; object detection; semantic segmentation; dynamic reconstruction,0.3
primary,representation_understanding,9,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,"Identify, categorize, retrieve, detect, or estimate the spatial pose of objects or shapes in 3D data.","Object/shape classification and recognition, 3D object detection, retrieval, identification, authentication, keypoint/landmark detection when object understanding is central, and category- or instance-level object pose estimation.",3d object detection; object detection; shape recognition; object recognition; shape classification; point cloud classification; 3d classification; shape retrieval; 3d retrieval; object retrieval; face authentication; category-level pose estimation; 6d object pose; object pose estimation,detection; recognition; classification; retrieval; identification; authentication; category-level recognition; category level recognition; object pose; pose estimation,segmentation; tracking; human pose estimation; place recognition; camera pose estimation,0.3
primary,representation_understanding,10,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,"Assign semantic or instance structure to 3D data and reason about scene contents, layout, relations, language, occupancy, or change.","Semantic, instance, panoptic, part, and object segmentation; open-vocabulary grounding; scene parsing, graphs, captions and relations; semantic scene completion; occupancy; affordances; change understanding; and high-level 3D scene understanding.",semantic segmentation; instance segmentation; panoptic segmentation; 3d segmentation; point cloud segmentation; scene understanding; scene parsing; semantic scene completion; semantic completion; part segmentation; object segmentation; occupancy prediction; semantic mapping; scene graph; open-vocabulary segmentation; 3d captioning; scene change detection,segmentation; semantic; panoptic; scene understanding; scene analysis; scene parsing; labeling; labelling; occupancy; scene graph; part parsing; object-level segmentation; language grounding; captioning; affordance; change detection,human segmentation as avatar reconstruction; motion segmentation only; dataset,0.3
