record_id,paper_title,publication_year,google_scholar_citation_count,snapshot_date,match_method
conf:3dim:MilletariNA16,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation.,2016,16570,2026-08-27,matched_exact_context
conf:3dim:ChangDFHNSSZZ17,Matterport3D: Learning from RGB-D Data in Indoor Environments.,2017,3253,2026-08-27,matched_exact_context
conf:3dim:LainaRBTN16,Deeper Depth Prediction with Fully Convolutional Residual Networks.,2016,2783,2026-08-27,matched_exact_context
conf:3dim:Wu13,Towards Linear-Time Incremental Structure from Motion.,2013,1853,2026-08-27,matched_human_verified
conf:3dim:MehtaRCFSXT17,Monocular 3D Human Pose Estimation in the Wild Using Improved CNN Supervision.,2017,1738,2026-08-27,matched_exact_context
conf:3dim:YuanKHMH18,PCN: Point Completion Network.,2018,1563,2026-08-27,matched_exact_context
conf:3dim:UhrigSSFBG17,Sparsity Invariant CNNs.,2017,1254,2026-08-27,matched_exact_context
conf:3dim:TchapmiCAGS17,SEGCloud: Semantic Segmentation of 3D Point Clouds.,2017,1161,2026-08-27,matched_exact_context
conf:3dim:LuitenKLR24,Dynamic 3D Gaussians: Tracking by Persistent Dynamic View Synthesis.,2024,1071,2026-08-27,matched_exact_context
conf:3dim:LipsonTD21,RAFT-Stereo: Multilevel Recurrent Field Transforms for Stereo Matching.,2021,899,2026-08-27,matched_exact_context
conf:3dim:Zhou0SGYDY19,IoU Loss for 2D/3D Object Detection.,2019,724,2026-08-27,matched_exact_context
conf:3dim:OmranLPGS18,Neural Body Fitting: Unifying Deep Learning and Model Based Human Pose and Shape Estimation.,2018,633,2026-08-27,matched_exact_context
conf:3dim:MehtaSMX0PT18,Single-Shot Multi-person 3D Pose Estimation from Monocular RGB.,2018,621,2026-08-27,matched_exact_context
conf:3dim:KellerLLIWK13,Real-Time 3D Reconstruction in Dynamic Scenes Using Point-Based Fusion.,2013,552,2026-08-27,matched_exact_context
conf:3dim:AhujaM19,Language2Pose: Natural Language Grounded Pose Forecasting.,2019,497,2026-08-27,matched_exact_context
conf:3dim:HuaPNTYY16,SceneNN: A Scene Meshes Dataset with aNNotations.,2016,482,2026-08-27,matched_exact_context
conf:3dim:AksanKCH21,A Spatio-temporal Transformer for 3D Human Motion Prediction.,2021,464,2026-08-27,matched_exact_context
